epoch,lr,train_f1,train_iou,train_prec,train_rec,train_loss,train_bnd,val_f1,val_iou,val_prec,val_rec,val_loss
51,5.458767760088046e-05,0.8355824458548862,0.7296399346730682,0.773781487948439,0.9158288294679664,0.6737787577543366,0.3875675801815612,0.5822110858280212,0.4869809815572807,0.5544716459990013,0.6483630191942211,1.067173623247072
52,5.295439585632452e-05,0.8396546471319841,0.7335923555694269,0.776863612016935,0.920990405591686,0.6675016407551391,0.3858994639656516,0.5794748104526661,0.4854955900227651,0.5431626950157806,0.6510318512446247,1.0648689873050898
53,5.131843026593474e-05,0.8415512786236372,0.7355612092599105,0.7775258892037895,0.9237735406945596,0.662890436977483,0.3851347352346677,0.5822394143615384,0.490895980168716,0.5552568569837604,0.6434150946006412,1.070822605630383
54,4.968156973406526e-05,0.844180852442645,0.7390577203604612,0.7794350328405252,0.9271337375881966,0.6565376929017935,0.3838787300533123,0.588009765240713,0.5006800960909459,0.5810108779114671,0.6277979356527794,1.0884635243564844
55,4.80456041436755e-05,0.8342793319165037,0.7306456700720814,0.7730309656496798,0.9147181638673452,0.6664009267694495,0.3839475018422255,0.5883031900448259,0.4987770600127987,0.5722893346392084,0.6416806381894276,1.0713075457606465
56,4.641232239911956e-05,0.8481557710828741,0.7442942465247399,0.7856225260899643,0.9275911034827822,0.6477631616123607,0.3806585837950867,0.5860000156826572,0.4970166562598024,0.5690739678393584,0.6402723382307158,1.06868201890029
57,4.47835104700055e-05,0.8429240237461048,0.7395346976732939,0.7791846805074242,0.9231518750780084,0.6502881076898468,0.380408475874515,0.5954328025400173,0.5042630307143554,0.5722476733499207,0.649034636473516,1.0578941695857793
58,4.3160949438263815e-05,0.8476727967098188,0.7459270429661434,0.7852310366342576,0.9275144490381976,0.639316713542081,0.3782995020740488,0.5925867051118985,0.5037324707227526,0.5717446171911433,0.6383664929307997,1.0738280017394572
59,4.154641355056056e-05,0.8452010562245765,0.744776574430171,0.7833264818184831,0.9232757541235912,0.6417777174979113,0.3781633940975318,0.5922146491939202,0.5051824597176164,0.5897719445056282,0.6251964115945157,1.0799736250191927
60,3.9941668278184536e-05,0.8497928270128335,0.7485501158396515,0.7901751556088416,0.9269157315949712,0.6329214220971204,0.3760316381293736,0.5922005734173581,0.5049664962571114,0.581006411841372,0.6308901721495204,1.0880671394988894
61,3.834846838653045e-05,0.8482053672162334,0.7485156673142749,0.7857836170812671,0.9267506629898308,0.6319065831350477,0.3756983794523089,0.5890063347178511,0.5014586631077691,0.5792053320328705,0.6233680325894966,1.097488478757441
62,3.676855601628871e-05,0.8514476669805773,0.7514945103713636,0.7916153638382976,0.928389331380303,0.6274834470802478,0.3746692005503044,0.5900451322086155,0.5008968889014795,0.5652925115427934,0.6412790367612615,1.064665548503399
63,3.520365877844012e-05,0.8552659168672025,0.7559395959370592,0.7938075657640951,0.9315794901901416,0.6212189448348592,0.373489690831538,0.5881276532163611,0.5012998052043258,0.5726518640876748,0.6263551874217228,1.0938659484963864
64,3.3655487865138664e-05,0.8591641994841983,0.7599832956626844,0.7995683241091417,0.9344208504293072,0.614612344911929,0.3722700721092438,0.5874550640000962,0.4962166016921401,0.5659192482416984,0.6456130107690115,1.062246051384136
65,3.212573617854808e-05,0.8541707730025387,0.7569964846533336,0.7940268698033323,0.9284196239174082,0.6165677575582869,0.371803555294369,0.5902344567439286,0.5031644157352275,0.5864411713846494,0.6314886091713561,1.0780577769037336
66,3.0616076479678025e-05,0.851370057388303,0.753627288898223,0.7925125276104787,0.9259828159690238,0.6184701892767059,0.3718118262257469,0.5894962831080193,0.5022916106572666,0.5876656392210862,0.6266047079043346,1.090599211398512
67,2.912815955924461e-05,0.8564000106761964,0.7605038464027509,0.7955852452623711,0.9312782871086944,0.6099936675824477,0.3701320946551441,0.5917017050087452,0.502735146030318,0.5765865659341216,0.6422087109822314,1.0821323047857732
68,2.766361243255496e-05,0.8601482138874825,0.764101080177875,0.79994222813108,0.934119216310844,0.6035739399409026,0.3685614854599652,0.5944201341044391,0.5097198494477198,0.5975903087528422,0.6241874063780415,1.0993442146573216
69,2.622403656038985e-05,0.8555514777309439,0.7598256313231554,0.796400956625349,0.929460868071974,0.6073758081438836,0.3682690442110715,0.5965290853055194,0.510392132026027,0.594579883501865,0.6291553765768185,1.086776161566377
70,2.481100609782985e-05,0.8637539956007111,0.768647590580951,0.8037629104732128,0.9376269954643892,0.5954971624224373,0.3663838357570466,0.592511287657544,0.5066538901010063,0.5938897540327162,0.6264382433000719,1.1068396284244957
71,2.342606617293988e-05,0.8591077904708767,0.7631711015216169,0.8003499155801334,0.932954949964089,0.6005948544888015,0.3672266772121526,0.5930289128154982,0.5048925755691016,0.5831182771362364,0.6385641236702213,1.084342509508133
72,2.207073119719429e-05,0.8612432467803527,0.7656923511808508,0.8018287765343538,0.9362005069433303,0.59715513365992,0.3659248080146446,0.5896550404140726,0.5018102129397448,0.5832728277018759,0.6314884937019087,1.0991934693884104
73,2.074648320949026e-05,0.8561302257052968,0.7623030375228839,0.7970042822066318,0.9291556571306808,0.599584982301412,0.3661460337009323,0.5909545405011158,0.5051636911084643,0.5849757935502566,0.6226312493963633,1.1132283322513103
74,1.945477025555992e-05,0.8681375094762679,0.7747474620830309,0.8068731946891613,0.942312430176005,0.5830004650890157,0.3627528871210773,0.5959859777940437,0.5082537210255396,0.5869073757785372,0.641138915787451,1.0827569831162691
75,1.819700480455365e-05,0.8654749132274242,0.7717867442479964,0.8064788822712523,0.93865210572153,0.586354848742485,0.363453005337983,0.5919875332619995,0.5044590329634957,0.5867789633921348,0.6325490669696592,1.0952825848944483
76,1.697456220452583e-05,0.860381676318396,0.7679230140134944,0.8022882394848412,0.9318841570036046,0.591966689871938,0.3641190820195701,0.5929548953427002,0.5039735518221278,0.5812810995848849,0.640212019905448,1.0800659242086112
77,1.5788779178511817e-05,0.8672783372777232,0.7741917064350643,0.8077065355992049,0.940455178682054,0.5823675020357196,0.3624847611182191,0.5962490828096634,0.5090142987683066,0.5970106317545287,0.6303152252585278,1.0965247654821724
78,1.4640952362841098e-05,0.8631900922635968,0.7708804933542616,0.8040168132005113,0.9349754361958986,0.5868497155020745,0.3627819554189618,0.593530359241413,0.5063914626662154,0.592131274897838,0.6325822180078831,1.0900156339630485
79,1.35323368892844e-05,0.8648395449257968,0.7722026591890314,0.8055781186296699,0.9371596813201905,0.5831452638915415,0.3618961395507448,0.5945210966456216,0.5073578704468673,0.5958888638706412,0.6285696715931408,1.103740976890549
80,1.2464145012585474e-05,0.8678835416108035,0.7758479436796702,0.8087414927027199,0.9400598703140624,0.5793537781479653,0.3603835214389844,0.5943828155868687,0.5072601562424097,0.5935421726899222,0.6289971498772502,1.1082919538021088
81,1.1437544784878526e-05,0.864112133390448,0.7725479898241798,0.8080793613128447,0.934088663899162,0.5839322939682543,0.3612262621354521,0.5967118273547385,0.51116889664263,0.598394813714549,0.6293392241786933,1.0947803154122084
82,1.0453658778440109e-05,0.8753163823250975,0.7844769727145688,0.8169585789187571,0.9469154632116636,0.5652063874381312,0.3578526863891087,0.5930915313074365,0.508821782990708,0.595904023910407,0.6190696604899131,1.1196482342202216
83,9.513562858173009e-06,0.8710715365962366,0.7806545145432936,0.811675447459971,0.9428224389974992,0.5697257940353972,0.3588348509722881,0.5968019004321832,0.510564902508122,0.5966898234910332,0.6328135307721823,1.098652695538476
84,8.618285005163703e-06,0.8696410515000311,0.7783646327558528,0.8095513541042135,0.9424225382590562,0.572631994793924,0.3595452002929837,0.5950702297268435,0.510173335133004,0.5938768787309527,0.625104435486719,1.1097641768865287
85,7.768804192600093e-06,0.8669932476925046,0.7772947399720047,0.8100255236866769,0.9375183507297816,0.5744908044512352,0.3591234672270464,0.5954668191843666,0.5091766366967931,0.5935655445791781,0.6247243850812083,1.1154490900225935
