3,1,8.83e-05,0.3324,0.7801,0.8764,0.4691,0.7534,0.8593
4,1,7.50e-05,0.2647,0.7912,0.8834,0.2850,0.7743,0.8728
5,1,5.87e-05,0.2298,0.8066,0.8929,0.2761,0.7998,0.8888
6,1,4.13e-05,0.2101,0.8144,0.8977,0.2211,0.8013,0.8897
7,1,2.50e-05,0.2064,0.8238,0.9034,0.2918,0.8118,0.8961
8,1,1.17e-05,0.1871,0.8289,0.9065,0.2168,0.8119,0.8962
9,1,3.02e-06,0.1816,0.8318,0.9082,0.2110,0.8134,0.8971
10,1,0.00e+00,0.1844,0.8324,0.9086,0.2403,0.8136,0.8972
11,2,1.00e-04,0.2292,0.8096,0.8948,0.2926,0.7981,0.8877
12,2,9.93e-05,0.2210,0.8118,0.8961,0.2433,0.7949,0.8858
13,2,9.73e-05,0.2129,0.8189,0.9005,0.2921,0.8016,0.8899
14,2,9.40e-05,0.2007,0.8200,0.9011,0.2527,0.8036,0.8911
15,2,8.95e-05,0.1975,0.8265,0.9050,0.2782,0.7972,0.8872
16,2,8.39e-05,0.1992,0.8303,0.9073,0.2745,0.8075,0.8935
17,2,7.73e-05,0.1858,0.8340,0.9095,0.2099,0.8186,0.9002
18,2,7.01e-05,0.1845,0.8368,0.9112,0.2289,0.8142,0.8976
19,2,6.23e-05,0.1837,0.8405,0.9133,0.2118,0.8205,0.9014
20,2,5.41e-05,0.1709,0.8435,0.9151,0.2746,0.8226,0.9027
21,2,4.59e-05,0.1783,0.8448,0.9159,0.2695,0.8247,0.9039
22,2,3.77e-05,0.1723,0.8471,0.9172,0.2797,0.8271,0.9054
23,2,2.99e-05,0.1578,0.8507,0.9193,0.2339,0.8246,0.9039
24,2,2.27e-05,0.1542,0.8532,0.9208,0.2611,0.8310,0.9077
25,2,1.61e-05,0.1497,0.8550,0.9218,0.2119,0.8271,0.9054
26,2,1.05e-05,0.1489,0.8547,0.9216,0.2577,0.8310,0.9077
27,2,6.03e-06,0.1544,0.8568,0.9228,0.2585,0.8311,0.9077
28,2,2.71e-06,0.1495,0.8566,0.9227,0.2690,0.8306,0.9075
29,2,6.82e-07,0.1432,0.8581,0.9236,0.2629,0.8309,0.9076
30,2,0.00e+00,0.1438,0.8577,0.9234,0.2114,0.8311,0.9078
31,3,5.00e-05,0.1534,0.8519,0.9200,0.2807,0.8261,0.9048
32,3,5.00e-05,0.1450,0.8518,0.9199,0.3169,0.8330,0.9089
33,3,4.99e-05,0.1603,0.8517,0.9199,0.2581,0.8274,0.9056
34,3,4.98e-05,0.1609,0.8528,0.9206,0.2925,0.8280,0.9059
35,3,4.96e-05,0.1635,0.8539,0.9212,0.3011,0.8314,0.9079
36,3,4.94e-05,0.1538,0.8541,0.9213,0.2737,0.8237,0.9033
37,3,4.91e-05,0.1575,0.8552,0.9219,0.2665,0.8278,0.9058
38,3,4.87e-05,0.1570,0.8544,0.9215,0.2276,0.8193,0.9007
39,3,4.84e-05,0.1570,0.8572,0.9231,0.2430,0.8312,0.9078
40,3,4.79e-05,0.1538,0.8573,0.9232,0.2409,0.8318,0.9082
41,3,4.75e-05,0.1470,0.8582,0.9237,0.2349,0.8327,0.9087
42,3,4.69e-05,0.1504,0.8588,0.9240,0.2310,0.8298,0.9070
43,3,4.64e-05,0.1489,0.8581,0.9236,0.2467,0.8287,0.9063
44,3,4.57e-05,0.1447,0.8595,0.9245,0.2609,0.8314,0.9079
45,3,4.51e-05,0.1489,0.8607,0.9251,0.2267,0.8325,0.9086
46,3,4.44e-05,0.1375,0.8622,0.9260,0.2267,0.8310,0.9077
47,3,4.37e-05,0.1460,0.8616,0.9257,0.2091,0.8308,0.9076
48,3,4.29e-05,0.1464,0.8612,0.9254,0.2510,0.8306,0.9075
49,3,4.21e-05,0.1412,0.8632,0.9266,0.2430,0.8332,0.9090
50,3,4.12e-05,0.1315,0.8642,0.9271,0.2310,0.8276,0.9057
51,3,4.03e-05,0.1377,0.8637,0.9269,0.2230,0.8323,0.9085
52,3,3.94e-05,0.1375,0.8643,0.9272,0.2153,0.8360,0.9107
